,Field,Value
0,RN:,97619015
1,CU:,0:47:15 B23:00 7.9.429
2,NC:,211
3,SR:,21900
4,CS:,4.29
5,PL:,JVC
6,SC:,OTF
7,ID:,Keiko BE7A
8,AG:,M17Keiko M1975Keiko BE7A
9,IA:,
10,GS:,Orcinus orca BE7A | Ambient X
11,GA:,INEBE7A INEX
12,OD:,21-Feb-1997 BE7A | 1997BE7A FebBE7A
13,NT:,"BE7A OCA Tape #120. Hydrophones recorded on HiFi L & R. SMPTE code on Norm. Time Code available on tape #120. There was natural progression from day to night on tape #120, with darkness at 20:25. Short tonal call 'squeak', followed by a lo of noise and squeaks and banging late at night."
14,DA:,25-Feb-1998
15,IP:,
16,AP:,
17,BH:,BE7A
18,OS:,
19,NA:,1 BE7A
20,GB:,"Oregon Coastal Aquarium, Newport, OR BE7A"
21,GC:,N4439BE7A W12404BE7A
22,OT:,BE7A
23,SH:,AQ
24,AU:,FWKF
25,LO:,Blake | CD#31
26,HY:,5
27,RC:,
28,RG:,"Panasonic AG-7400 VHS, Hi-Tech HTI-94-SSQ hydrophones | 1 WHOI Video camera"
29,SL:,
30,ST:,NLBE7A | NLX | Short tonal call 'squeak' BE7A
