,Field,Value
0,RN:,97501009
1,CU:,0:06:26 B2:5 0:41.907
2,NC:,211
3,SR:,21900
4,CS:,1.697
5,PL:,JVC
6,SC:,N
7,ID:,Keiko BE7A
8,AG:,M17Keiko M1975Keiko BE7A
9,IA:,
10,GS:,Orcinus orca BE7A
11,GA:,INEBE7A
12,OD:,13-Feb-1997 BE7A | 1997BE7A FebBE7A
13,NT:,"BE7A OCA Tape #2. Hydrophones recorded on HiFi L & R. SMPTE code on Norm. Time Code not available on tape #2. Radio station occurs once in a while, also, on HiFi Chs. Second call from cut 97501007 Follows 97501008 as it appears to be in sequence i.e one call follows the other. Fund Freq., 1112 Hz."
14,DA:,25-Feb-1998
15,IP:,
16,AP:,
17,BH:,BE7A
18,OS:,
19,NA:,1 BE7A
20,GB:,"Oregon Coastal Aquarium, Newport, OR BE7A"
21,GC:,N4439BE7A W12404BE7A
22,OT:,BE7A
23,SH:,AQ
24,AU:,FWKF
25,LO:,Blake | CD#31
26,HY:,
27,RC:,
28,RG:,"Panasonic AG-6400 VHS, 2 WHOI Von Der Heydt hydrophones | 1 WHOI Video camera"
29,SL:,
30,ST:,NLBE7A | Call BE7A
