,Field,Value
0,RN:,55113007
1,CU:,0 B11:48.853 2:26.231
2,NC:,11A
3,SR:,14900
4,CS:,27.432
5,PL:,Crown 2Ch/K-H H5.0
6,SC:,OTF
7,ID:,
8,AG:,
9,IA:,
10,GS:,Megaptera novaeangliae AC2A
11,GA:,ASWAC2A
12,OD:,Mar-1951 AC2A | MarAC2A 1951AC2A
13,NT:,AC2A N32' 22 W064' 38 Calls. Reverberation present. Copy of original SOFAR recordings.
14,DA:,7-Dec-1994
15,IP:,
16,AP:,
17,BH:,
18,OS:,
19,NA:,2+
20,GB:,"St. David's Island, Bermuda AC2A"
21,GC:,N32AC2A W064AC2A
22,OT:,
23,SH:,Platform
24,AU:,Frank Watlington
25,LO:,"CD #5, 6 | SHIV"
26,HY:,
27,RC:,
28,RG:,
29,SL:,
30,ST:,NLAC2A | NSAC2A | Calls AC2A
